,label
1824,0
253,0
1114,0
3220,0
2108,0
2396,0
4412,0
1012,0
3460,1
4475,0
4456,0
5358,0
2134,1
156,1
624,1
2616,1
500,0
726,0
3787,1
3565,0
2500,0
3509,1
2234,1
18,0
2709,1
5975,1
5798,0
3229,0
4935,0
3972,0
4917,0
1237,0
507,1
5498,0
88,0
1632,0
4341,0
470,0
3933,1
2091,1
5607,0
5070,1
1544,1
9,0
4083,0
4885,1
4429,0
1082,0
34,0
1989,0
5351,1
5011,1
285,0
5935,0
3281,0
3118,0
4391,1
481,0
2617,0
2883,1
3540,0
942,1
565,0
5920,1
3253,0
104,0
188,0
342,0
1464,1
2140,0
2826,0
2270,1
599,0
2196,0
3936,0
1666,0
649,0
1941,0
3548,1
667,1
1285,0
4144,0
5779,1
689,0
3631,0
1119,0
4453,1
1670,1
538,0
5785,0
3016,1
3434,0
383,1
1949,0
3382,0
3389,1
1358,0
5719,1
1500,0
1248,0
2137,0
1542,0
2749,1
2915,0
4986,0
3994,0
4479,1
3626,1
296,0
5300,1
1123,0
5552,0
1786,0
5882,0
1293,0
5594,0
3370,0
639,0
3241,1
4695,0
893,0
5956,1
2587,0
1531,0
2345,1
5093,0
1141,0
233,1
2636,0
271,1
5445,0
1456,0
2364,0
3634,1
3269,0
5222,0
1275,0
2079,0
2602,0
4368,0
1891,0
2550,1
1926,0
3853,0
4773,0
2374,0
2177,0
4010,0
2644,0
2172,0
1419,0
1250,1
261,0
4276,1
4509,0
3635,0
3601,0
3580,0
440,0
2543,0
5079,0
5423,0
619,0
1288,1
3034,0
1247,0
157,0
4132,0
2308,0
4639,0
1075,1
2329,0
5308,0
252,1
4991,0
2447,1
5576,0
1165,0
1520,1
1892,1
4489,0
2523,0
729,0
1213,0
5422,0
173,0
3909,1
371,0
4195,0
3039,0
1379,1
3758,0
5479,0
3874,0
1516,1
1881,1
1979,1
5466,1
3197,1
2165,1
5420,1
628,0
4662,1
410,1
346,0
4062,0
1482,0
883,0
5020,1
3910,1
1065,0
2265,1
5826,0
718,1
906,0
1084,0
4523,0
5247,1
5781,0
1559,0
3296,0
2542,0
1854,0
5045,0
5008,0
345,1
771,0
3697,0
2009,0
5511,0
2652,0
220,0
2661,0
5470,1
2949,0
3239,0
